A,R,T,Y
0.0,0.7460274696350098,0.99582839012146,1.0
1.0,0.05852263793349266,1.3515816926956177,1.0
1.0,-0.5885095596313477,-2.85666561126709,0.0
1.0,-1.4582068920135498,0.8863325119018555,1.0
0.0,-0.7205948233604431,2.3822526931762695,0.0
1.0,-0.11728322505950928,1.2589852809906006,0.0
1.0,1.7991201877593994,0.6389015913009644,0.0
1.0,0.44211918115615845,-0.35399460792541504,0.0
0.0,1.066307783126831,0.2009083777666092,1.0
0.0,-1.9251701831817627,-1.5782936811447144,0.0
0.0,-0.3139913082122803,-1.036440134048462,0.0
1.0,-0.04754304885864258,-0.4783402681350708,0.0
0.0,1.1774201393127441,0.4516248106956482,0.0
0.0,-1.410515308380127,0.2772318422794342,0.0
0.0,0.7545477747917175,1.3629848957061768,1.0
0.0,0.1477888524532318,1.8177279233932495,1.0
1.0,1.0671641826629639,-1.8303132057189941,1.0
0.0,-1.6789145469665527,1.7314839363098145,1.0
1.0,-0.10708069801330566,-0.5769756436347961,0.0
0.0,1.7331714630126953,1.2472398281097412,1.0
0.0,-0.7541164755821228,0.4490438401699066,1.0
0.0,3.0783753395080566,1.805920124053955,1.0
1.0,1.7636656761169434,1.6821709871292114,1.0
0.0,-1.2077383995056152,0.23068439960479736,0.0
0.0,-1.218691110610962,-1.897661566734314,0.0
0.0,1.8103235960006714,0.6122510433197021,1.0
0.0,1.8349919319152832,1.7777575254440308,1.0
0.0,-0.5514717102050781,0.9290849566459656,0.0
1.0,-0.4239722192287445,-1.358934998512268,0.0
0.0,1.6125481128692627,-1.7272160053253174,0.0
0.0,1.6923472881317139,-1.9836068153381348,1.0
0.0,-1.0524818897247314,-0.37781989574432373,0.0
1.0,2.4511489868164062,-2.2881650924682617,1.0
0.0,1.0971691608428955,-2.3736889362335205,0.0
0.0,-1.1075608730316162,-2.526423215866089,0.0
1.0,1.0266780853271484,-2.508358955383301,0.0
1.0,0.9092081189155579,-0.9229595065116882,0.0
1.0,-0.34210455417633057,-0.1591387391090393,1.0
0.0,-0.09360289573669434,0.8932713270187378,0.0
0.0,1.2913813591003418,0.26002490520477295,1.0
0.0,1.9962999820709229,3.1575889587402344,1.0
0.0,0.4668225646018982,-0.12189412117004395,1.0
1.0,0.49296462535858154,-2.681006908416748,0.0
1.0,2.2136964797973633,-0.8095505833625793,0.0
0.0,-0.4864482283592224,1.4082536697387695,1.0
0.0,-0.02216055989265442,-2.554135322570801,0.0
1.0,-0.5393713116645813,0.26092666387557983,0.0
0.0,-1.757895827293396,-1.4748766422271729,0.0
1.0,0.11124259233474731,-0.3162604570388794,0.0
1.0,-2.419083595275879,-1.5824053287506104,0.0
1.0,-0.22417345643043518,-2.4329683780670166,0.0
1.0,-1.8683454990386963,0.38692378997802734,1.0
0.0,2.834298849105835,-0.4104456305503845,1.0
1.0,-1.1821800470352173,1.2444710731506348,0.0
1.0,-3.7527666091918945,-0.44637179374694824,0.0
0.0,0.6512243151664734,2.3455514907836914,1.0
1.0,0.748835027217865,-0.6518453359603882,0.0
1.0,-2.3263180255889893,-0.577271580696106,0.0
0.0,0.12477797269821167,0.032689183950424194,1.0
0.0,-0.4064156711101532,2.1495046615600586,1.0
1.0,0.09127461910247803,1.747154712677002,1.0
0.0,-3.1384806632995605,0.04510056972503662,1.0
0.0,0.24431538581848145,2.0665271282196045,1.0
0.0,1.394873857498169,-0.40381544828414917,1.0
1.0,-0.3346722722053528,-2.0259392261505127,0.0
1.0,-1.9770286083221436,1.0267891883850098,0.0
0.0,0.6363928914070129,-0.21316373348236084,1.0
1.0,-0.24707597494125366,-2.3669257164001465,0.0
1.0,-0.9069900512695312,0.3316650688648224,0.0
0.0,-1.777435302734375,0.8418433666229248,0.0
0.0,0.2040523886680603,-0.6167296171188354,0.0
0.0,0.3195458650588989,1.9658830165863037,0.0
0.0,-0.4162200391292572,0.5655151605606079,1.0
1.0,-0.31345969438552856,0.8767038583755493,0.0
0.0,-0.16446897387504578,-0.3920833170413971,1.0
1.0,-1.2755568027496338,-0.24332842230796814,0.0
0.0,-0.4246843457221985,-1.1613850593566895,1.0
1.0,1.2639241218566895,1.141364574432373,1.0
0.0,2.401120185852051,2.884904384613037,1.0
0.0,0.569817304611206,0.289851576089859,0.0
1.0,-0.5200755596160889,-0.20295929908752441,1.0
0.0,-0.9352558851242065,-0.13370895385742188,1.0
0.0,2.064812183380127,3.372426748275757,1.0
0.0,1.1375452280044556,-0.4228322505950928,1.0
0.0,1.9355590343475342,-0.02679288387298584,1.0
1.0,-0.8067569732666016,-2.030181646347046,0.0
0.0,1.4401264190673828,0.814389705657959,1.0
0.0,-3.387354850769043,-0.3311258852481842,0.0
1.0,-1.1312952041625977,1.8239858150482178,0.0
0.0,-0.03064441680908203,0.12989111244678497,0.0
0.0,1.4409643411636353,0.5014012455940247,0.0
0.0,-0.32676631212234497,-0.9229961633682251,1.0
1.0,-1.2301108837127686,2.0384597778320312,0.0
1.0,0.5897884368896484,0.6107796430587769,0.0
0.0,0.4436360001564026,1.2558051347732544,0.0
0.0,-1.7567871809005737,0.5359304547309875,0.0
0.0,-0.6291370987892151,-0.6444514393806458,0.0
0.0,-1.713942050933838,0.26410192251205444,0.0
1.0,0.43412479758262634,-0.9252127408981323,0.0
1.0,-0.13129635155200958,0.8463995456695557,0.0
1.0,0.3896678686141968,0.8458910584449768,0.0
1.0,-2.415135145187378,-0.6935107111930847,1.0
1.0,0.3034602999687195,-1.3476669788360596,1.0
1.0,-3.2521488666534424,-0.9971495270729065,0.0
1.0,2.780348777770996,0.7880759239196777,1.0
0.0,1.009901523590088,1.2294864654541016,1.0
0.0,1.2618215084075928,1.1239005327224731,1.0
1.0,0.6560558080673218,-3.4574170112609863,0.0
1.0,-1.0266896486282349,-0.7592363357543945,0.0
1.0,-2.3763229846954346,0.6550859212875366,0.0
1.0,0.09405866265296936,-2.506408452987671,0.0
1.0,1.9149670600891113,-2.0507473945617676,0.0
1.0,-1.7843772172927856,1.1374077796936035,0.0
1.0,-1.8971807956695557,-0.60172438621521,0.0
0.0,-0.17488610744476318,0.6687436699867249,1.0
1.0,-0.5801465511322021,0.16243739426136017,0.0
0.0,0.348955899477005,-0.636101245880127,1.0
